1672531200000,0.33890000,0.34000000,0.33540000,0.33870000,102026821.00000000,1672617599999,34471638.57140000,48661,53592277.00000000,18107900.64750000,0
1672617600000,0.33860000,0.35550000,0.30000000,0.34820000,647520487.00000000,1672703999999,217803999.74460000,285660,320823575.00000000,108056946.62360000,0
1672704000000,0.34820000,0.35200000,0.33950000,0.34360000,346410334.00000000,1672790399999,119511328.67110000,154113,172318472.00000000,59448460.90270000,0
1672790400000,0.34360000,0.36050000,0.33900000,0.34720000,372672796.00000000,1672876799999,129585304.72840000,147677,193027855.00000000,67139279.10420000,0
1672876800000,0.34710000,0.34870000,0.33330000,0.33800000,265529668.00000000,1672963199999,90735849.13650000,106910,129294274.00000000,44187813.66610000,0
1672963200000,0.33800000,0.34620000,0.33110000,0.34430000,278304929.00000000,1673049599999,93853937.03300000,124811,141179233.00000000,47616379.18640000,0
1673049600000,0.34420000,0.34570000,0.34130000,0.34420000,103851424.00000000,1673135999999,35685499.46950000,54864,50831317.00000000,17471422.57290000,0
1673136000000,0.34420000,0.34690000,0.33540000,0.34520000,185516324.00000000,1673222399999,63235820.00180000,87967,92948507.00000000,31689407.38970000,0
1673222400000,0.34520000,0.35760000,0.34370000,0.34900000,527746615.00000000,1673308799999,185161444.28360000,207757,254824357.00000000,89419804.37490000,0
1673308800000,0.34890000,0.35410000,0.34320000,0.35070000,338577860.00000000,1673395199999,118256165.19440000,126247,173055172.00000000,60442037.71480000,0
1673395200000,0.35060000,0.37850000,0.34770000,0.37280000,626037461.00000000,1673481599999,228637315.37450000,264481,316060030.00000000,115363462.22070000,0
1673481600000,0.37280000,0.38200000,0.36070000,0.37480000,505754231.00000000,1673567999999,188241999.72110000,229155,249878743.00000000,93006864.74710000,0
1673568000000,0.37480000,0.38680000,0.36800000,0.38580000,405120914.00000000,1673654399999,152479844.05660000,180943,201571197.00000000,75872846.40570000,0
1673654400000,0.38570000,0.40890000,0.37660000,0.39530000,582781070.00000000,1673740799999,230545836.18810000,298604,287515587.00000000,113750224.08490000,0
1673740800000,0.39530000,0.39690000,0.37950000,0.38450000,294014260.00000000,1673827199999,113574492.66170000,149500,140444062.00000000,54247747.68380000,0
1673827200000,0.38460000,0.40640000,0.37770000,0.38550000,542041099.00000000,1673913599999,211557382.18950000,244213,259538816.00000000,101299609.17320000,0
1673913600000,0.38550000,0.39870000,0.37900000,0.38680000,378212343.00000000,1673999999999,146669509.54330000,175149,183711027.00000000,71232383.44360000,0
1674000000000,0.38680000,0.39640000,0.36550000,0.37820000,615064764.00000000,1674086399999,236217050.68000000,297896,294249478.00000000,113039586.96650000,0
1674086400000,0.37820000,0.39650000,0.37620000,0.39280000,416112670.00000000,1674172799999,161047075.76570000,194843,204941131.00000000,79300131.85570000,0
1674172800000,0.39290000,0.41410000,0.38590000,0.41290000,366316527.00000000,1674259199999,145683006.81930000,191888,188711387.00000000,74980784.29300000,0
1674259200000,0.41290000,0.41660000,0.39670000,0.40340000,346602583.00000000,1674345599999,141823531.58310000,198254,165478405.00000000,67719633.29720000,0
1674345600000,0.40340000,0.41220000,0.39620000,0.40040000,250067543.00000000,1674431999999,101062837.47320000,140303,120634816.00000000,48755338.55110000,0
1674432000000,0.40040000,0.43300000,0.39950000,0.42340000,723894773.00000000,1674518399999,304618525.30610000,337146,336521405.00000000,141588487.15640000,0
1674518400000,0.42330000,0.43120000,0.40250000,0.40780000,411297898.00000000,1674604799999,172683239.93440000,223346,192361934.00000000,80790644.36980000,0
1674604800000,0.40790000,0.42450000,0.39650000,0.41700000,375065459.00000000,1674691199999,153118088.97600000,188870,186827318.00000000,76244377.77970000,0
1674691200000,0.41700000,0.41780000,0.40530000,0.40920000,290069659.00000000,1674777599999,119450988.29240000,151650,143837698.00000000,59220498.81630000,0
1674777600000,0.40910000,0.41350000,0.39880000,0.41280000,274281738.00000000,1674863999999,111625093.02300000,133853,136378774.00000000,55507502.56410000,0
1674864000000,0.41270000,0.41680000,0.40550000,0.40780000,148949278.00000000,1674950399999,61120997.81060000,83036,70856591.00000000,29083649.28340000,0
1674950400000,0.40780000,0.41730000,0.40660000,0.41340000,166884667.00000000,1675036799999,68802706.76420000,95305,79235849.00000000,32669617.34210000,0
1675036800000,0.41350000,0.42220000,0.38600000,0.39340000,433795926.00000000,1675123199999,174875593.06560000,205691,213480378.00000000,86141832.60550000,0
1675123200000,0.39330000,0.41130000,0.38800000,0.40570000,346580963.00000000,1675209599999,138238341.77960000,166935,174978218.00000000,69716355.94510000,0
1675296000000,0.41320000,0.41920000,0.40800000,0.40980000,322532370.00000000,1675382399999,133341656.21790000,165464,163472668.00000000,67587785.77210000,0
1675382400000,0.40970000,0.41370000,0.40540000,0.41170000,274689680.00000000,1675468799999,112603154.48690000,133447,141671977.00000000,58080968.90550000,0
1675468800000,0.41160000,0.42040000,0.40750000,0.41060000,178134111.00000000,1675555199999,73370958.01900000,95986,83662124.00000000,34471548.46240000,0
1675555200000,0.41060000,0.41200000,0.39420000,0.39840000,237111362.00000000,1675641599999,95563098.08890000,134236,112747647.00000000,45453079.20300000,0
1675641600000,0.39850000,0.40370000,0.39090000,0.39200000,315995053.00000000,1675727999999,125897156.28630000,145740,159859675.00000000,63699592.12380000,0
1675728000000,0.39210000,0.40480000,0.39010000,0.40360000,356160688.00000000,1675814399999,141141108.60650000,145406,183248723.00000000,72607710.11020000,0
1675814400000,0.40370000,0.40600000,0.39360000,0.39750000,263188839.00000000,1675900799999,105265066.87440000,104320,123235097.00000000,49287325.65650000,0
